=========================================================
TRAINING ON 1000 SENTENCES
=========================================================
sentence index    n value     BLEU score
1                1          0.2
1                2          0
1                3          0
2                1          0.22222
2                2          0
2                3          0
3                1          0.21368
3                2          0
3                3          0
4                1          0.071429
4                2          0
4                3          0
5                1          0.30769
5                2          0.22646
5                3          0
6                1          0.11111
6                2          0
6                3          0
7                1          0.23077
7                2          0
7                3          0
8                1          0.25
8                2          0.18898
8                3          0
9                1          0.375
9                2          0.23146
9                3          0
10                1          0.1
10                2          0
10                3          0
11                1          0.61538
11                2          0.39223
11                3          0.24093
12                1          0.15385
12                2          0
12                3          0
13                1          0.11111
13                2          0
13                3          0
14                1          0.33333
14                2          0
14                3          0
15                1          0.30769
15                2          0
15                3          0
16                1          0.33333
16                2          0.17408
16                3          0
17                1          0.2
17                2          0.14907
17                3          0
18                1          0.33333
18                2          0.24254
18                3          0.15434
19                1          0.25
19                2          0.15076
19                3          0
20                1          0.1
20                2          0
20                3          0
21                1          0.125
21                2          0
21                3          0
22                1          0.3
22                2          0.18257
22                3          0
23                1          0.35714
23                2          0.16575
23                3          0
24                1          0.13333
24                2          0.09759
24                3          0
25                1          0
25                2          0
25                3          0
=========================================================
TRAINING ON 10000 SENTENCES
=========================================================
sentence index    n value     BLEU score
1                1          0.13333
1                2          0
1                3          0
2                1          0.22222
2                2          0
2                3          0
3                1          0.28491
3                2          0
3                3          0
4                1          0.5
4                2          0.27735
4                3          0
5                1          0.23077
5                2          0.13868
5                3          0
6                1          0.22222
6                2          0
6                3          0
7                1          0.15385
7                2          0
7                3          0
8                1          0.25
8                2          0.18898
8                3          0
9                1          0.5
9                2          0.26726
9                3          0
10                1          0.3
10                2          0
10                3          0
11                1          0.46154
11                2          0.27735
11                3          0.19123
12                1          0.15385
12                2          0
12                3          0
13                1          0
13                2          0
13                3          0
14                1          0.44444
14                2          0
14                3          0
15                1          0.30769
15                2          0
15                3          0
16                1          0.5
16                2          0.2132
16                3          0
17                1          0.3
17                2          0.18257
17                3          0
18                1          0.38889
18                2          0.26197
18                3          0.16248
19                1          0.25
19                2          0.15076
19                3          0
20                1          0.1
20                2          0
20                3          0
21                1          0.375
21                2          0.32733
21                3          0.26138
22                1          0.5
22                2          0.33333
22                3          0.24037
23                1          0.42857
23                2          0.18157
23                3          0
24                1          0.2
24                2          0.11952
24                3          0
25                1          0.125
25                2          0
25                3          0
=========================================================
TRAINING ON 15000 SENTENCES
=========================================================
sentence index    n value     BLEU score
1                1          0.2
1                2          0
1                3          0
2                1          0.22222
2                2          0
2                3          0
3                1          0.28491
3                2          0.14827
3                3          0
4                1          0.42857
4                2          0.25678
4                3          0
5                1          0.30769
5                2          0.16013
5                3          0
6                1          0.11111
6                2          0
6                3          0
7                1          0.15385
7                2          0
7                3          0
8                1          0.25
8                2          0.18898
8                3          0
9                1          0.375
9                2          0.23146
9                3          0
10                1          0.3
10                2          0
10                3          0
11                1          0.53846
11                2          0.3669
11                3          0.23045
12                1          0.15385
12                2          0
12                3          0
13                1          0.11111
13                2          0
13                3          0
14                1          0.5
14                2          0
14                3          0
15                1          0.23077
15                2          0
15                3          0
16                1          0.25
16                2          0
16                3          0
17                1          0.3
17                2          0.18257
17                3          0
18                1          0.27778
18                2          0.2214
18                3          0.14524
19                1          0.16667
19                2          0
19                3          0
20                1          0.2
20                2          0.14907
20                3          0
21                1          0.375
21                2          0.32733
21                3          0.26138
22                1          0.3
22                2          0.18257
22                3          0
23                1          0.28571
23                2          0.14825
23                3          0
24                1          0.2
24                2          0.16903
24                3          0
25                1          0.25
25                2          0
25                3          0
=========================================================
TRAINING ON 30000 SENTENCES
=========================================================
sentence index    n value     BLEU score
1                1          0.33333
1                2          0
1                3          0
2                1          0.22222
2                2          0
2                3          0
3                1          0.35614
3                2          0.16577
3                3          0
4                1          0.35714
4                2          0.16575
4                3          0
5                1          0.30769
5                2          0.16013
5                3          0
6                1          0.11111
6                2          0
6                3          0
7                1          0.30769
7                2          0
7                3          0
8                1          0.375
8                2          0.32733
8                3          0.26138
9                1          0.5
9                2          0.26726
9                3          0
10                1          0.2
10                2          0
10                3          0
11                1          0.53846
11                2          0.29957
11                3          0.20131
12                1          0.15385
12                2          0
12                3          0
13                1          0.11111
13                2          0
13                3          0
14                1          0.33333
14                2          0
14                3          0
15                1          0.30769
15                2          0
15                3          0
16                1          0.33333
16                2          0.17408
16                3          0
17                1          0.3
17                2          0.18257
17                3          0
18                1          0.33333
18                2          0.24254
18                3          0.15434
19                1          0.16667
19                2          0
19                3          0
20                1          0.1
20                2          0
20                3          0
21                1          0.375
21                2          0.32733
